City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Ponta Do Sol,PT,76.71,scattered clouds,32.6667,-17.1,Hotel do Campo
3,Butaritari,KI,80.51,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Nizwa,OM,80.91,clear sky,22.9333,57.5333,Orient Apartments
5,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
7,Rikitea,PF,74.07,moderate rain,-23.1203,-134.9692,People ThankYou
8,Constitucion,CL,61.68,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
10,Bredasdorp,ZA,63.72,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
13,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
19,Melville,US,65.53,few clouds,40.7934,-73.4151,Marriott Melville Long Island
20,Antofagasta,CL,71.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
22,Kavieng,PG,83.16,light rain,-2.5744,150.7967,Nusa Island Retreat
24,Port Alfred,ZA,67.69,broken clouds,-33.5906,26.891,The Halyards Hotel
26,Najran,SA,75.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
28,Hamilton,US,60.12,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
31,Saldanha,ZA,68.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
35,Moerai,PF,73.17,broken clouds,-22.4333,-151.3333,Le Manotel
36,Airai,TL,61.36,overcast clouds,-8.9266,125.4092,Juvinal Martin
37,Marsh Harbour,BS,78.15,clear sky,26.5412,-77.0636,Abaco Beach Resort
39,Geraldton,AU,63.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
40,Tiznit,MA,74.55,clear sky,29.5833,-9.5,
43,Honolulu,US,71.56,clear sky,21.3069,-157.8583,Aston at the Executive Centre Hotel
47,Chuy,UY,73.69,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Terenos,BR,83.91,broken clouds,-20.4422,-54.8603,Rancho Pitzer
51,Castro,BR,60.8,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
56,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
59,Albany,US,61.36,overcast clouds,42.6001,-73.9662,
63,Kaseda,JP,66.16,broken clouds,31.4167,130.3167,Sun Stay Kaseda
66,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
71,Atuona,PF,79.61,overcast clouds,-9.8,-139.0333,Villa Enata
72,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
73,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Tallahassee,US,66.92,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
79,Tomatlan,MX,86.11,clear sky,19.9333,-105.25,El Salvial
80,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
