City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,6.93,94,100,10.04,overcast clouds
1,Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
2,Ponta Do Sol,PT,32.6667,-17.1,76.71,78,37,7.09,scattered clouds
3,Butaritari,KI,3.0707,172.7902,80.51,78,46,9.57,light rain
4,Nizwa,OM,22.9333,57.5333,80.91,24,3,7.38,clear sky
5,Kahului,US,20.8947,-156.47,70.84,76,1,5.75,clear sky
6,Aanekoski,FI,62.6946,25.818,46.47,93,100,6.91,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,74.07,88,100,17.58,moderate rain
8,Constitucion,CL,-35.3333,-72.4167,61.68,71,100,6.89,overcast clouds
9,Shache,CN,38.4167,77.2406,50.54,28,100,3.67,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,63.72,77,97,9.22,overcast clouds
11,Ahipara,NZ,-35.1667,173.1667,55.65,79,96,10.36,overcast clouds
12,Barrow,US,71.2906,-156.7887,24.82,86,90,24.16,light snow
13,Avarua,CK,-21.2078,-159.775,73.45,73,75,8.05,broken clouds
14,Nikolskoye,RU,59.7035,30.7861,47.01,84,48,8.19,scattered clouds
15,Tasiilaq,GL,65.6145,-37.6368,26.76,67,100,4.56,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,37.15,92,60,2.68,broken clouds
17,Turukhansk,RU,65.8167,87.9833,7.45,98,99,4.05,overcast clouds
18,Fortuna,US,40.5982,-124.1573,57.36,74,90,8.01,overcast clouds
19,Melville,US,40.7934,-73.4151,65.53,72,20,1.99,few clouds
20,Antofagasta,CL,-23.65,-70.4,71.22,55,0,9.24,clear sky
21,Ushuaia,AR,-54.8,-68.3,53.22,50,0,3.44,clear sky
22,Kavieng,PG,-2.5744,150.7967,83.16,77,98,16.46,light rain
23,Jamestown,US,42.097,-79.2353,52.02,99,90,7.0,mist
24,Port Alfred,ZA,-33.5906,26.891,67.69,85,67,18.7,broken clouds
25,Mrakovo,RU,52.7161,56.6244,43.11,93,85,8.43,overcast clouds
26,Najran,SA,17.4924,44.1277,75.85,41,23,7.76,few clouds
27,Atar,MR,20.5169,-13.0499,94.5,13,8,10.0,clear sky
28,Hamilton,US,39.1834,-84.5333,60.12,77,75,1.99,broken clouds
29,Severnyy,RU,50.677,36.5532,48.24,61,0,4.47,haze
30,Hasaki,JP,35.7333,140.8333,57.6,88,100,5.77,overcast clouds
31,Saldanha,ZA,-33.0117,17.9442,68.05,81,97,7.83,overcast clouds
32,Oranjemund,NA,-28.55,16.4333,63.81,73,51,9.6,broken clouds
33,Barra Do Garcas,BR,-15.89,-52.2567,92.84,42,77,3.47,broken clouds
34,Busselton,AU,-33.65,115.3333,52.05,80,96,9.42,overcast clouds
35,Moerai,PF,-22.4333,-151.3333,73.17,70,73,19.06,broken clouds
36,Airai,TL,-8.9266,125.4092,61.36,88,93,1.66,overcast clouds
37,Marsh Harbour,BS,26.5412,-77.0636,78.15,55,1,10.69,clear sky
38,Yellowknife,CA,62.456,-114.3525,28.42,100,75,6.91,broken clouds
39,Geraldton,AU,-28.7667,114.6,63.12,67,40,10.36,scattered clouds
40,Tiznit,MA,29.5833,-9.5,74.55,32,1,7.92,clear sky
41,Zhigansk,RU,66.7697,123.3711,12.09,92,100,19.82,overcast clouds
42,Mandera,KE,3.9366,41.867,88.39,37,36,7.72,scattered clouds
43,Honolulu,US,21.3069,-157.8583,71.56,77,1,3.44,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,50.11,50,0,11.5,clear sky
45,Ilulissat,GL,69.2167,-51.1,33.82,86,90,19.57,moderate rain
46,Caucaia,BR,-3.7361,-38.6531,89.08,71,40,17.27,scattered clouds
47,Chuy,UY,-33.6971,-53.4616,73.69,73,98,9.1,overcast clouds
48,Terenos,BR,-20.4422,-54.8603,83.91,57,75,2.3,broken clouds
49,Sobolevo,RU,54.4299,31.8996,42.44,77,0,9.6,clear sky
50,Thompson,CA,55.7435,-97.8558,30.36,93,75,10.36,broken clouds
51,Castro,BR,-24.7911,-50.0119,60.8,95,100,6.78,overcast clouds
52,Yar-Sale,RU,66.8333,70.8333,6.64,93,42,6.22,scattered clouds
53,New Norfolk,AU,-42.7826,147.0587,55.92,59,100,5.99,overcast clouds
54,Agirish,RU,61.9247,63.0231,19.69,94,100,6.82,light snow
55,Kutina,HR,45.475,16.7819,42.78,74,0,4.32,clear sky
56,Esperance,AU,-33.8667,121.9,64.24,56,100,14.88,overcast clouds
57,Mount Gambier,AU,-37.8333,140.7667,40.91,93,8,0.0,clear sky
58,Amapa,BR,1.0,-52.0,90.52,46,71,3.65,broken clouds
59,Albany,US,42.6001,-73.9662,61.36,80,96,10.56,overcast clouds
60,Saint-Augustin,CA,51.226,-58.6502,49.95,56,88,6.4,overcast clouds
61,Kaspiyskiy,RU,45.3929,47.3707,52.45,83,77,13.49,broken clouds
62,Longyearbyen,SJ,78.2186,15.6401,31.84,64,20,11.5,few clouds
63,Kaseda,JP,31.4167,130.3167,66.16,82,63,6.24,broken clouds
64,Cherskiy,RU,68.75,161.3,-0.74,98,100,5.08,overcast clouds
65,Sribne,UA,50.6638,32.9187,45.54,58,0,7.76,clear sky
66,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,16.11,light rain
67,Urengoy,RU,65.9667,78.3667,6.24,94,100,12.68,overcast clouds
68,Kodiak,US,57.79,-152.4072,45.91,87,90,18.41,light rain
69,Khatanga,RU,71.9667,102.5,4.8,96,100,8.68,overcast clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,75,12.66,broken clouds
71,Atuona,PF,-9.8,-139.0333,79.61,70,93,13.82,overcast clouds
72,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,0,11.5,clear sky
73,Saint George,US,37.1041,-113.5841,72.07,54,1,0.0,clear sky
74,Tallahassee,US,30.4383,-84.2807,66.92,70,75,3.0,broken clouds
75,Tilichiki,RU,60.4667,166.1,-6.18,97,23,11.95,few clouds
76,Yuxia,CN,34.0615,108.6291,50.61,70,100,1.34,light rain
77,Obihiro,JP,42.9172,143.2044,44.53,80,29,3.42,scattered clouds
78,Hobart,AU,-42.8794,147.3294,56.26,63,100,1.99,overcast clouds
79,Tomatlan,MX,19.9333,-105.25,86.11,59,9,1.9,clear sky
80,Hermanus,ZA,-34.4187,19.2345,66.9,83,96,9.24,overcast clouds
81,Georgetown,MY,5.4112,100.3354,80.55,87,20,0.0,few clouds
82,Mandalgovi,MN,45.7625,106.2708,31.51,57,4,8.55,clear sky
83,Aklavik,CA,68.2191,-135.0107,30.92,93,40,3.44,scattered clouds
84,Luderitz,NA,-26.6481,15.1594,63.01,76,41,9.73,scattered clouds
85,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,5.75,broken clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,73.36,79,84,10.11,broken clouds
87,Novobirilyussy,RU,56.9514,90.6661,32.79,98,100,8.84,light snow
88,Deputatskiy,RU,69.3,139.9,-11.45,86,48,2.98,scattered clouds
89,Qaanaaq,GL,77.484,-69.3632,9.97,64,99,10.25,overcast clouds
90,Chifeng,CN,42.2683,118.9636,38.46,70,79,2.71,broken clouds
91,Lazaro Cardenas,MX,17.9583,-102.2,83.73,70,81,1.14,broken clouds
92,College,US,64.8569,-147.8028,46.06,45,75,12.66,broken clouds
93,Aksha,RU,50.2814,113.2867,27.36,73,16,2.42,few clouds
94,Bethel,US,41.3712,-73.414,64.85,73,75,4.0,broken clouds
95,Kapaa,US,22.0752,-159.319,69.78,88,1,8.05,clear sky
96,Bluff,NZ,-46.6,168.3333,48.09,75,85,19.57,overcast clouds
97,Victoria,HK,22.2855,114.1577,77.32,82,89,1.99,light rain
98,Yuksekova,TR,37.5736,44.2872,41.63,100,75,0.0,mist
