City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rawson,-43.3002,-65.1023,56.61,42,1,29.06,AR,2021-10-30 17:18:31
1,Qaanaaq,77.484,-69.3632,1.71,54,0,8.55,GL,2021-10-30 17:18:32
2,Mehamn,71.0357,27.8492,36.55,77,82,4.0,NO,2021-10-30 17:18:32
3,Mataura,-46.1927,168.8643,47.8,67,12,5.73,NZ,2021-10-30 17:18:32
4,Punta Arenas,-53.15,-70.9167,51.91,43,0,18.41,CL,2021-10-30 17:19:09
5,Rikitea,-23.1203,-134.9692,74.89,84,73,20.69,PF,2021-10-30 17:19:09
6,Tasiilaq,65.6145,-37.6368,26.76,64,18,6.78,GL,2021-10-30 17:19:10
7,Jamestown,42.097,-79.2353,52.95,95,90,3.0,US,2021-10-30 17:19:10
8,Xingyi,24.1877,102.817,56.55,99,81,3.44,CN,2021-10-30 17:19:10
9,Baraboo,43.4711,-89.7443,57.34,75,1,1.01,US,2021-10-30 17:19:05
10,Upernavik,72.7868,-56.1549,25.63,56,100,7.25,GL,2021-10-30 17:19:11
11,Hilo,19.7297,-155.09,82.27,68,1,5.75,US,2021-10-30 17:19:11
12,Ushuaia,-54.8,-68.3,49.66,53,0,13.8,AR,2021-10-30 17:19:11
13,Cockburn Town,21.4612,-71.1419,84.16,65,40,12.66,TC,2021-10-30 17:19:12
14,Warri,5.5167,5.75,81.16,84,100,4.83,NG,2021-10-30 17:19:12
15,Cidreira,-30.1811,-50.2056,71.65,77,68,21.85,BR,2021-10-30 17:19:12
16,Cape Town,-33.9258,18.4232,67.12,67,0,4.0,ZA,2021-10-30 17:16:24
17,Ekibastuz,51.6667,75.3667,37.56,66,100,12.57,KZ,2021-10-30 17:19:13
18,Vallenar,-28.5708,-70.7581,84.13,25,0,8.97,CL,2021-10-30 17:15:18
19,Dikson,73.5069,80.5464,8.56,91,100,17.4,RU,2021-10-30 17:19:13
20,Aksarka,66.5606,67.7975,-0.74,93,43,6.89,RU,2021-10-30 17:19:14
21,Fairbanks,64.8378,-147.7164,28.36,86,20,9.22,US,2021-10-30 17:15:33
22,Kapaa,22.0752,-159.319,71.58,99,1,8.05,US,2021-10-30 17:19:14
23,Norman Wells,65.282,-126.8329,15.84,92,75,2.3,CA,2021-10-30 17:19:14
24,New Norfolk,-42.7826,147.0587,51.93,61,66,5.01,AU,2021-10-30 17:19:15
25,Arraial Do Cabo,-22.9661,-42.0278,75.06,73,90,8.05,BR,2021-10-30 17:18:23
26,Mansa,29.9833,75.3833,69.73,30,0,4.81,IN,2021-10-30 17:19:16
27,Poyarkovo,49.6,128.6833,25.95,50,50,7.38,RU,2021-10-30 17:19:16
28,Kamina,-8.7386,24.9906,67.15,92,83,6.78,CD,2021-10-30 17:19:16
29,Barrow,71.2906,-156.7887,15.82,79,90,4.61,US,2021-10-30 17:19:17
30,Saint George,37.1041,-113.5841,73.54,47,1,0.0,US,2021-10-30 17:15:43
31,Kodiak,57.79,-152.4072,45.91,93,90,26.46,US,2021-10-30 17:17:58
32,Lebu,-37.6167,-73.65,55.24,68,91,19.22,CL,2021-10-30 17:16:07
33,Souillac,-20.5167,57.5167,73.78,78,40,4.61,MU,2021-10-30 17:19:17
34,Guadalupe Y Calvo,26.1,-106.9667,64.38,35,0,5.77,MX,2021-10-30 17:19:18
35,Bluff,-46.6,168.3333,52.88,64,19,18.88,NZ,2021-10-30 17:19:18
36,Port Elizabeth,-33.918,25.5701,62.1,94,0,11.5,ZA,2021-10-30 17:19:19
37,Makokou,0.5738,12.8642,73.02,95,100,2.01,GA,2021-10-30 17:19:19
38,Butaritari,3.0707,172.7902,81.1,78,95,8.7,KI,2021-10-30 17:19:19
39,Saint-Philippe,-21.3585,55.7679,72.99,81,72,3.89,RE,2021-10-30 17:19:20
40,Hermanus,-34.4187,19.2345,66.9,79,56,11.61,ZA,2021-10-30 17:19:20
41,Sao Filipe,14.8961,-24.4956,80.73,72,93,10.54,CV,2021-10-30 17:19:21
42,Fortuna,40.5982,-124.1573,61.14,76,90,1.99,US,2021-10-30 17:19:21
43,Saint-Francois,46.4154,3.9054,60.24,82,75,9.22,FR,2021-10-30 17:19:21
44,Manokwari,-0.8667,134.0833,78.04,79,78,3.6,ID,2021-10-30 17:19:22
45,Haines Junction,60.7522,-137.5108,35.55,64,100,9.22,CA,2021-10-30 17:20:22
46,Tuktoyaktuk,69.4541,-133.0374,17.6,93,75,6.91,CA,2021-10-30 17:20:22
47,Iqaluit,63.7506,-68.5145,37.13,69,90,20.0,CA,2021-10-30 17:20:23
48,East London,-33.0153,27.9116,63.54,88,0,12.66,ZA,2021-10-30 17:20:23
49,College,64.8569,-147.8028,29.66,85,75,4.61,US,2021-10-30 17:20:23
50,Opelika,32.6454,-85.3783,58.89,80,90,10.36,US,2021-10-30 17:19:40
51,Russell,32.3502,-85.1999,61.12,70,90,10.36,US,2021-10-30 17:20:24
52,Heiligenhafen,54.3667,10.9833,53.58,80,100,17.11,DE,2021-10-30 17:20:24
53,Thompson,55.7435,-97.8558,35.76,80,20,10.36,CA,2021-10-30 17:20:25
54,Namibe,-15.1961,12.1522,68.9,77,77,12.24,AO,2021-10-30 17:20:25
55,Laguna,38.421,-121.4238,67.14,86,20,5.01,US,2021-10-30 17:20:25
56,Yellowknife,62.456,-114.3525,28.42,93,40,7.0,CA,2021-10-30 17:17:36
57,Campo Formoso,-10.5075,-40.3214,90.97,25,3,10.45,BR,2021-10-30 17:20:26
58,Ryotsu,38.0833,138.4333,59.4,69,100,4.65,JP,2021-10-30 17:20:26
59,Qaqortoq,60.7167,-46.0333,32.5,76,44,2.84,GL,2021-10-30 17:20:26
60,Vila Velha,-20.3297,-40.2925,75.15,83,75,12.66,BR,2021-10-30 17:20:27
61,Lewistown,40.5992,-77.5714,56.79,96,90,0.0,US,2021-10-30 17:20:27
62,Rocha,-34.4833,-54.3333,73.83,70,100,11.56,UY,2021-10-30 17:17:27
63,Mar Del Plata,-38.0023,-57.5575,84.22,92,40,18.01,AR,2021-10-30 17:16:05
64,Viedma,-40.8135,-62.9967,60.28,42,80,27.36,AR,2021-10-30 17:19:34
65,Busselton,-33.65,115.3333,46.04,90,55,7.4,AU,2021-10-30 17:20:28
66,Murgab,37.4966,61.9714,57.07,47,40,13.8,TM,2021-10-30 17:20:28
67,Puerto Ayora,-0.7393,-90.3518,78.76,80,78,9.26,EC,2021-10-30 17:20:28
68,Alofi,-19.0595,-169.9187,73.29,83,100,3.44,NU,2021-10-30 17:20:29
69,Werda,-25.2667,23.2833,76.82,15,0,8.63,BW,2021-10-30 17:20:29
70,Ponta Do Sol,32.6667,-17.1,79.0,76,81,9.75,PT,2021-10-30 17:20:29
71,Maroantsetra,-15.4333,49.7333,74.84,85,59,3.94,MG,2021-10-30 17:20:30
72,Carutapera,-1.195,-46.02,85.59,67,34,6.67,BR,2021-10-30 17:20:30
73,Honningsvag,70.9821,25.9704,42.12,62,77,4.65,NO,2021-10-30 17:20:30
74,Pangai,-19.8,-174.35,76.62,70,64,17.18,TO,2021-10-30 17:20:30
75,Nanortalik,60.1432,-45.2371,35.24,73,38,4.74,GL,2021-10-30 17:20:31
76,Zhigansk,66.7697,123.3711,-4.05,98,87,12.62,RU,2021-10-30 17:20:31
77,Vaini,-21.2,-175.2,71.76,94,20,3.44,TO,2021-10-30 17:20:31
